epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,78568.7,1.35214,0.75931,1.05537,0.78832,0.61563,0.6859,0.37657,1.26082,0.68599,0.96634,0.005842,0.005842,0.005842
44,80172.9,1.35183,0.75774,1.05863,0.78793,0.61596,0.6869,0.37718,1.25941,0.68479,0.96572,0.005743,0.005743,0.005743
45,81892,1.3522,0.75774,1.05633,0.789,0.61693,0.68826,0.3783,1.25815,0.68393,0.9651,0.005644,0.005644,0.005644
46,83597.9,1.35233,0.75693,1.05904,0.79293,0.61647,0.68917,0.37911,1.25691,0.68203,0.96465,0.005545,0.005545,0.005545
47,85338.4,1.34328,0.75159,1.05504,0.79522,0.61618,0.6901,0.37926,1.25568,0.68103,0.96421,0.005446,0.005446,0.005446
48,86933.3,1.34165,0.74543,1.05312,0.79581,0.61676,0.69097,0.38007,1.2546,0.6799,0.96364,0.005347,0.005347,0.005347
49,88540.5,1.33561,0.7466,1.0514,0.79685,0.61675,0.69144,0.38017,1.25354,0.67893,0.96303,0.005248,0.005248,0.005248
50,90109.2,1.33553,0.74246,1.05179,0.79694,0.61535,0.69169,0.3808,1.25227,0.67727,0.9625,0.005149,0.005149,0.005149
51,91677.9,1.3339,0.74128,1.04968,0.79732,0.61741,0.69314,0.38197,1.25113,0.67633,0.96203,0.00505,0.00505,0.00505
52,93244.8,1.33598,0.74361,1.05257,0.80057,0.6165,0.6938,0.38258,1.25032,0.67491,0.96155,0.004951,0.004951,0.004951
53,94809.6,1.33124,0.73961,1.04915,0.79872,0.61666,0.69393,0.38329,1.24947,0.67356,0.96108,0.004852,0.004852,0.004852
54,96378.5,1.32919,0.73745,1.05033,0.80314,0.61629,0.69474,0.38332,1.24862,0.67264,0.96069,0.004753,0.004753,0.004753
55,97947.7,1.32962,0.73697,1.04815,0.8006,0.61725,0.6946,0.38387,1.24787,0.67162,0.96045,0.004654,0.004654,0.004654
56,99514.2,1.32603,0.73701,1.04792,0.80038,0.61948,0.69561,0.38435,1.24718,0.67058,0.96008,0.004555,0.004555,0.004555
57,101080,1.3209,0.73124,1.04617,0.80271,0.61956,0.69553,0.38408,1.24617,0.67019,0.95979,0.004456,0.004456,0.004456
58,102646,1.3183,0.72698,1.04617,0.80052,0.62087,0.69569,0.38441,1.24521,0.66975,0.95936,0.004357,0.004357,0.004357
59,104212,1.31334,0.72648,1.04235,0.80288,0.61943,0.69589,0.38488,1.24454,0.66902,0.95909,0.004258,0.004258,0.004258
60,105780,1.31347,0.72577,1.04245,0.80038,0.62138,0.69608,0.38552,1.2437,0.66843,0.9587,0.004159,0.004159,0.004159
61,107351,1.31141,0.72281,1.03884,0.79938,0.62181,0.6972,0.38642,1.24278,0.66731,0.95825,0.00406,0.00406,0.00406
62,108925,1.31001,0.71989,1.03938,0.80217,0.62162,0.69707,0.3867,1.24186,0.66666,0.95786,0.003961,0.003961,0.003961
63,110494,1.3066,0.71964,1.03796,0.80075,0.62284,0.69766,0.38699,1.24135,0.66597,0.9576,0.003862,0.003862,0.003862
